Base,Variable,LIC,LSC,,,
FVT 7 CW,Get Angle 2,45,48,,,
FVT 7 CW,Get Angle 3,67.5,72,,,
FVT 7 CW,Get Angle 4,90,96,,,
FVT 7 CW,Get Angle 5,112.5,120,,,
FVT 7 CW,Get Angle 6,135,144,,,
FVT 7 CW,Get Angle 7,157.5,168,,,
FVT 7 CW,Get Angle 8,180,192,,,
FVT 7 CW,Get Angle 9,202.5,216,,,
FVT 7 CW,Get Angle A,225,240,,,
FVT 7 CW,Get Angle B,247.5,264,,,
FVT 7 CW,Get Angle C,270,270,,,
FVT 7 CW,Get Angle D,292.5,292.5,,,
FVT 7 CW,Get Angle E,315,315,,,
FVT 7 CW,Get Angle F,337.5,337.5,,,
FVT 90 CD,Get_Angle0,0,0,,,
FVT 90 CD,Get_Angle1,30,32.727273,,,
FVT 90 CD,Get_Angle2,60,65.454545,,,
FVT 90 CD,Get_Angle3,90,98.181818,,,
FVT 90 CD,Get_Angle4,120,130.909091,,,
FVT 90 CD,Get_Angle5,150,163.636364,,,
FVT 90 CD,Get_Angle6,180,196.363636,,,
FVT 90 CD,Get_Angle7,210,229.090909,,,
FVT 90 CD,Get_Angle8,240,261.818182,,,
FVT 90 CD,Get_Angle9,270,294.545455,,,
FVT 90 CD,Get_AngleA,300,327.272727,,,
FVT 90 CD,Get_AngleB,330,330,,,
FVT 90 CW,Get_Angle0,0,0,,,
FVT 90 CW,Get_Angle1,30,32.727273,,,
FVT 90 CW,Get_Angle2,60,65.454545,,,
FVT 90 CW,Get_Angle3,90,98.181818,,,
FVT 90 CW,Get_Angle4,120,130.909091,,,
FVT 90 CW,Get_Angle5,150,163.636364,,,
FVT 90 CW,Get_Angle6,180,196.363636,,,
FVT 90 CW,Get_Angle7,210,229.090909,,,
FVT 90 CW,Get_Angle8,240,261.818182,,,
FVT 90 CW,Get_Angle9,270,294.545455,,,
FVT 90 CW,Get_AngleA,300,327.272727,,,
FVT 90 CW,Get_AngleB,330,330,,,
